id,name,price,category,condition,enStock,description,Image
e_93,Monitor LG 27 G6 Ultragear 27G610A-B 2K Qhd Ips 200Mhz 1Ms Srgb 99% Pivot Hdmi/Hdmi/Dp,,monitores,Nuevo,TRUE,,https://www.lg.com/content/dam/channel/wcms/pe/images/monitores/27g610a-b/gallery/ultragear-gaming-27g610a-2025-gallery-gallery-14.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800
e_108,Monitor LG 27 G6 Ultragear 27G610A-B 2K Qhd Ips 200Mhz 1Ms Srgb 99% Pivot Hdmi/Hdmi/Dp,,monitores,Nuevo,TRUE,,https://www.lg.com/content/dam/channel/wcms/pe/images/monitores/27g610a-b/gallery/ultragear-gaming-27g610a-2025-gallery-gallery-14.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800
e_117,Monitor LG 27 G6 Ultragear 27G610A-B 2K Qhd Ips 200Mhz 1Ms Srgb 99% Pivot Hdmi/Hdmi/Dp,,monitores,Nuevo,TRUE,,https://www.lg.com/content/dam/channel/wcms/pe/images/monitores/27g610a-b/gallery/ultragear-gaming-27g610a-2025-gallery-gallery-14.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800
e_29,Asus Rog Strix B650E-F Gaming Wifi AMD 4Xddr5 3Xm.2 2Xtipoc Wifie6/Bluetooth Hdmi/Dp,,placas-amd,Nuevo,TRUE,,https://dlcdnwebimgs.asus.com/files/media/42CF69C2-D16A-449F-A113-E7AB3C57AEE7/v1/img/style/id-design.png
e_30,Asus Tuf Gaming B550-Plus Wifi Ii AMD 4Xddr4 2Xm.2 1Xtipoc Wifi6/Bluetooth Argb Gen2 Hdmi/Dp,,placas-amd,Nuevo,TRUE,,https://dlcdnimgs.asus.com/websites/global/products/bvceys3w8ug0apoa/img/spec/spec-pc.png
e_31,Asus Prime B650M-F AMD 2Xddr5 1Xm.2 Argb Gen2 Am5 Hdmi,,placas-amd,Nuevo,TRUE,,https://dlcdnwebimgs.asus.com/gain/2af88015-d002-4cdf-868b-74738430b261/
e_32,Msi B650M Gaming Plus Wifi Drr5 Am5 4Xddr5 2Xm.2 1Xtc Wifi6E/Bluetooth Dp/Hdmi,,placas-amd,Nuevo,TRUE,,https://asset.msi.com/resize/image/global/product/product_1681456847b0ea0e25f792d9f157c17bc8df9db04a.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png
e_33,Asus Prime B650M-A Ak6 Ii 4Xddr5 2Xm.2 Wifi6/Bluetooth 1Xtc Pcie5.0 Dp/Hdmi,,placas-amd,Nuevo,TRUE,,https://dlcdnwebimgs.asus.com/gain/2af88015-d002-4cdf-868b-74738430b261/
e_35,Asrock A620M-Hdv/M.2 2Xddr5 2Xm.2 1Xtc Am5 Hdmi/Dp,,placas-amd,Nuevo,TRUE,,https://www.asrock.com.tw/mb/photo/A620M-HDVP(L1).png
e_36,Msi Pro B840M-P Wifi6E Ai PC 4Xddr5 2Xm.2 1Xtypc AMD Socket Am5 Hdmi,,placas-amd,Nuevo,TRUE,,https://asset.msi.com/resize/image/global/product/product_17476221275ccfae40673ad764647d652d7008c58b.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png
e_38,Gigabyte A520M K V2 Ultra Durable 2Xddr4 1Xm.2 Pcie Gen3 X4 AMD Hdmi/Vga,,placas-amd,Nuevo,TRUE,,https://www.picclickimg.com/sNsAAeSwdMtooXlI/Gigabyte-A520M-K-V2-Ultra-Durable-AMD-AM4.webp
e_39,Placa Gigabyte B650M D3Hp Ax AMD Am5 4Xddr5 2Xm.2 1Xtc Wifi/Bluetooth Hdmi/Dp/Dp,,placas-amd,Nuevo,TRUE,,https://ecommerce.datablitz.com.ph/cdn/shop/files/a6f7f32b-fc71-4788-8d65-731e467eca22_800x.jpg?v=1711601420
e_40,Msi B650 Gaming Plus Wifi AMD 4Xddr5 2Xm.2 1Xtypec Gen4 Am5 Wifi6E/Bluetooth5.3 Dp/Hdmi,,placas-amd,Nuevo,TRUE,,https://asset.msi.com/resize/image/global/product/product_1681456849c61615731d2d6db5cbf89a990dab7653.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png
e_41,Asus Prime A620M-K DDR5 AMD 2Xddr5 1Xm.2 Pcie4.0 Argb Gen2 Hdmi/Vga,,placas-amd,Nuevo,TRUE,,https://dlcdnwebimgs.asus.com/files/media/74ca4a31-bfba-4b8d-8257-f7d8e3cd694b/img/kv/kv_pd_light.png
e_42,Placa Gigabyte B650M H Am5 2Xddr5 1Xm.2 Hdmi/Dp,,placas-amd,Nuevo,TRUE,,https://www.gigabyte.com/FileUpload/Global/KeyFeature/2458/innergigabyteimages/kf-img.png
